               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  19,            0.016132,            0.012047,                   0,             0.97689,             0.97977,             0.99288,             0.84894,           0.0075451,           0.0030584,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.016189,            0.011671,                   0,             0.97778,             0.97923,             0.99123,             0.80916,            0.008109,           0.0030955,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.017224,            0.012075,                   0,             0.98099,             0.98941,             0.99334,             0.85088,           0.0074408,           0.0029329,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.015358,            0.012052,                   0,             0.97839,             0.98857,             0.99266,             0.83705,            0.007227,           0.0030492,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.015059,            0.011475,                   0,             0.98313,             0.99286,             0.99338,             0.85286,           0.0073681,           0.0028848,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.016022,            0.011719,                   0,                0.98,             0.99095,             0.99316,             0.86428,           0.0073094,           0.0028043,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.016644,            0.011716,                   0,             0.98049,             0.99032,             0.99334,             0.86541,           0.0070402,           0.0028026,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.015835,            0.011309,                   0,             0.98183,             0.98669,             0.99351,             0.85831,           0.0071682,           0.0030094,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.014451,            0.011547,                   0,              0.9798,             0.98775,             0.99288,             0.86792,           0.0069504,           0.0028152,                   0,            0.004852,            0.004852,            0.004852
                  28,             0.01654,            0.011422,                   0,             0.98405,             0.98775,             0.99313,             0.87038,           0.0067739,           0.0027102,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.013962,            0.011288,                   0,             0.98723,             0.98799,             0.99371,             0.86476,           0.0066251,           0.0026908,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.013427,            0.010971,                   0,             0.98629,             0.98988,             0.99363,              0.8695,           0.0066048,           0.0027584,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.014425,            0.010912,                   0,             0.98518,             0.99079,              0.9932,             0.86956,           0.0066682,            0.002753,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.014554,            0.010969,                   0,             0.98131,             0.99042,             0.99324,             0.87698,           0.0066585,           0.0027438,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.013971,            0.010998,                   0,             0.98791,             0.98616,             0.99389,             0.87653,           0.0064761,           0.0026946,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.014255,            0.010851,                   0,             0.98364,             0.99225,             0.99389,             0.88627,           0.0061541,           0.0026573,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.014153,            0.010777,                   0,             0.98714,             0.98775,             0.99336,              0.8734,           0.0064379,            0.002664,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.014052,            0.010661,                   0,             0.98482,             0.99201,             0.99359,             0.88673,           0.0060106,           0.0025726,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.014184,            0.010584,                   0,             0.98781,             0.99095,             0.99363,             0.88859,           0.0061435,           0.0025578,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.013211,            0.010516,                   0,             0.98353,             0.99255,             0.99309,             0.88563,           0.0059752,           0.0025765,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.013055,            0.010587,                   0,             0.98518,             0.99114,             0.99343,             0.89312,           0.0061983,           0.0025361,                   0,            0.002476,            0.002476,            0.002476
                  40,             0.01351,            0.010772,                   0,             0.98583,             0.99095,             0.99351,             0.89458,            0.005952,           0.0025251,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.013228,            0.010503,                   0,             0.98129,             0.99414,             0.99332,              0.8936,           0.0059797,           0.0025437,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.012997,            0.010217,                   0,             0.98786,             0.99255,             0.99402,             0.89405,            0.005871,           0.0025491,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.012577,            0.010015,                   0,             0.98366,             0.99388,             0.99389,             0.90106,           0.0056888,           0.0025206,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.012876,            0.010566,                   0,             0.98434,             0.99042,              0.9935,             0.90017,           0.0057126,           0.0024959,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.012626,            0.010417,                   0,             0.98623,             0.99178,             0.99384,             0.90386,           0.0055985,           0.0024626,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.011565,            0.010211,                   0,             0.98624,             0.99242,             0.99374,             0.90234,           0.0056831,           0.0025059,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.013002,            0.010523,                   0,             0.98678,             0.99201,              0.9938,             0.90599,           0.0056288,           0.0024684,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.014095,            0.010405,                   0,             0.98317,             0.99546,             0.99379,             0.90773,           0.0055278,           0.0024708,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.011941,            0.010083,                   0,             0.98678,             0.99333,             0.99381,             0.90652,           0.0054703,           0.0024594,                   0,            0.000496,            0.000496,            0.000496
